"ID_TRAPPOLA";"ID_cattura";"ALBA";"sessione";"occasione";"chip";"ricattura";"pelo";"peso..g.";"sex";"eta";"statoripr";"NOTE";"DOY";"Data_R";"Anno";"SESSIONE";"data.attivazione";"occasione.attivazione";"ED50.Coord.X";"ED50.Coord.Y";"WGS84.Coord.Long";"WGS84.Coord.Lat";"Diametro.roccia.1..cm.";"Diametro.roccia.2..cm.";"Diametro.roccia.3..cm.";"alt_m";"aspect_deg";"slope_degr";"X..COP..VEG..2015";"X..COP..VEG..2018";"n_species";"dominant";"distanza.trappole..cm...da.75a1.";"angolo.trappole..gradi.AZ..da75a1.";"Cop_Veg_2015_ottavi";"Cop_Veg_2018_ottavi"
"10";19;"A";1;10;NA;"R";"SI 8";31;"F";"A";"NR";NA;248;2014-09-05;"2014";1;"14/07/2015";1;367456;5048264;"7.300.214.843.071.250";"45.573.488.459.293.300";58;34;41;2784,308;343;0;35;37,5;20;"Graminacee";833;298;2,8;3
"10";14;"A";1;12;"1317018";"R";"E";34;"F";"A";"R";NA;201;2015-07-20;"2015";1;"14/07/2015";1;367456;5048264;"7.300.214.843.071.250";"45.573.488.459.293.300";58;34;41;2784,308;343;0;35;37,5;20;"Graminacee";833;298;2,8;3
"10";33;"A";2;3;NA;"N";"Eg/Fg";31;"M";"A";"NR";NA;242;2016-08-29;"2016";1;"14/07/2015";1;367456;5048264;"7.300.214.843.071.250";"45.573.488.459.293.300";58;34;41;2784,308;343;0;35;37,5;20;"Graminacee";833;298;2,8;3
"11";28;"A";1;13;NA;"R?";"D/Fb";27;"M";"A";"NR";NA;239;2017-08-27;"2017";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";3;"A";1;2;NA;"N ";"SI e";41;"M";"A";"R";NA;244;2014-09-01;"2014";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";60;"A";2;11;NA;"N";"Eg/Fb";25;"F";"G";"NR";NA;246;2016-09-02;"2016";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";1;"T";1;1;"1315302";"N";NA;36;"F";"A";"NR";NA;243;2014-08-31;"2014";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";52;"A";2;2;"1313807";"N";NA;35;"F";"A";"R";NA;240;2015-08-28;"2015";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";32;"T";1;14;NA;"R";"buco C (eD)";28;"M";"A";"NR";NA;239;2017-08-27;"2017";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";3;"A";1;2;NA;"N";"D";40;"F";"A";"NR";NA;203;2018-07-22;"2018";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
