"ID_cattura";"ALBA";"sessione";"occasione";"ID_TRAPPOLA";"chip";"ricattura";"pelo";"peso..g.";"sex";"eta";"statoripr";"NOTE";"DOY";"Data_R";"Anno"
1;"T";1;1;"11";"1315302";"N";NA;36;"F";"A";"NR";NA;243;2014-08-31;"2014"
2;"A";1;2;"6";NA;"N";"SI";35;"F";"A";"NR";NA;244;2014-09-01;"2014"
3;"A";1;2;"11";NA;"N ";"SI e";41;"M";"A";"R";NA;244;2014-09-01;"2014"
4;"A";1;2;"35";"1314921";"N";NA;39;"F";"A";NA;NA;244;2014-09-01;"2014"
5;"A";1;2;"45";"1314375";"N";NA;33;"M";"G";"NR";NA;244;2014-09-01;"2014"
6;"T";1;3;"26";"1314305";"N";NA;45;"M";"A";"R";NA;244;2014-09-01;"2014"
7;"A";1;4;"66";"1315302";"R";NA;29;"F";"A";"NR";NA;245;2014-09-02;"2014"
8;"A";1;4;"45";"1314375";"R";NA;29;"M";"G";"NR";NA;245;2014-09-02;"2014"
9;"A";1;4;"57";NA;"N";NA;43;"M";"A";"NR";NA;245;2014-09-02;"2014"
10;"A";1;4;"26";"1314112";"N";"NA ";41;"M";"A";"NR";NA;245;2014-09-02;"2014"
11;"T";1;5;"29";"1314305";"R";NA;48;"M";"A";"NR";NA;245;2014-09-02;"2014"
12;"T";1;5;"62";"1315302";"R";NA;33;"F";"A";"NR";NA;245;2014-09-02;"2014"
13;"A";1;6;"2";"1314305";"R";NA;51;"M";"A";"R";NA;246;2014-09-03;"2014"
14;"A";1;6;"46";"1314375";"R";"NA ";23;"M";"G";"NR";NA;246;2014-09-03;"2014"
15;"A";1;6;"51";"1314921";"R";NA;38;"F";"A";"NR";NA;246;2014-09-03;"2014"
16;"A";1;6;"53";NA;"N";"SI 6";13;NA;"G";"NR";NA;246;2014-09-03;"2014"
17;"A";1;6;"63";"1315302";"R";"NA ";30;"F";"A";"NR";NA;246;2014-09-03;"2014"
18;"T";1;7;"45";NA;NA;NA;NA;NA;NA;NA;NA;246;2014-09-03;"2014"
19;"A";1;10;"10";NA;"R";"SI 8";31;"F";"A";"NR";NA;248;2014-09-05;"2014"
20;"A";1;10;"16";NA;NA;NA;18;"M";"G";"NR";NA;248;2014-09-05;"2014"
21;"A";1;10;"18";"1313426";"N";NA;19;"F";"G";"NR";NA;248;2014-09-05;"2014"
22;"A";1;10;"26";"1314112";"R";NA;32;"M";"A";"NR";NA;248;2014-09-05;"2014"
23;"A";1;10;"45";"1314375";"R";NA;21;"M";"G";"NR";NA;248;2014-09-05;"2014"
24;"A";1;10;"53";"1314305";"R";NA;44;"M";"A";"NR";NA;248;2014-09-05;"2014"
25;"A";1;10;"56";"1314452";"N";NA;41;"M";"A";"NR";NA;248;2014-09-05;"2014"
26;"A";1;10;"66";"1315302";"R";NA;30;"F";"A";"NR";NA;248;2014-09-05;"2014"
27;"A";1;10;"16";"1313426";"R";NA;17;"F";"G";"NR";NA;248;2014-09-05;"2014"
28;"A";1;12;"30";"1314305";"R";NA;40;"M";"A";"R";NA;249;2014-09-06;"2014"
29;"A";1;12;"33";"1314112";"R";NA;29;"M";"A";"NR";NA;249;2014-09-06;"2014"
30;"A";1;12;"40";"1314912";"N";NA;32;"F";"A";"NR";NA;249;2014-09-06;"2014"
31;"A";1;12;"45 (74)";NA;"N";NA;27;"M";"A";"NR";NA;249;2014-09-06;"2014"
32;"A";1;12;"66";"1315139";"N";NA;43;"M";"A";"NR";NA;249;2014-09-06;"2014"
33;"A";1;12;"67";"1315302";"R";NA;30;"F";"A";"NR";NA;249;2014-09-06;"2014"
34;"A";1;12;"70";NA;"N";NA;26;NA;NA;NA;NA;249;2014-09-06;"2014"
35;"A";1;14;"31";"1314112";"R";NA;29;"M";"A";"NR";NA;250;2014-09-07;"2014"
36;"A";1;14;"51";"1314305";"R";NA;40;"M";"A";"NR";NA;250;2014-09-07;"2014"
37;"A";1;14;"52";NA;"N";NA;27;"F";"A";"NR";NA;250;2014-09-07;"2014"
38;"A";1;14;"61";"1314296";"N";NA;33;"F";"A";"NR";NA;250;2014-09-07;"2014"
1;"T";1;1;"23";"1313062";"N";NA;43;"M";"A";"R";NA;195;2015-07-14;"2015"
2;"A";1;4;"55";NA;"N";NA;40;"F";"A";"R";NA;197;2015-07-16;"2015"
3;"A";1;4;"19";"1313062";"R";NA;45;"M";"A";"R";NA;197;2015-07-16;"2015"
4;"A";1;6;"19";"1313062";"R";NA;44;"M";"A";"R";NA;198;2015-07-17;"2015"
5;"A";1;6;"23";NA;"N";"F";36;"F";"A";"NR";NA;198;2015-07-17;"2015"
6;"A";1;6;"12";"1317018";"N";"E";43;"F";"A";"R";NA;198;2015-07-17;"2015"
7;"T";1;7;"66";"1313062";"R";NA;NA;"M";"A";"R";NA;198;2015-07-17;"2015"
8;"T";1;7;"61";NA;"N";NA;NA;NA;"A";NA;NA;198;2015-07-17;"2015"
