"ID_cattura";"DATA";"ALBA";"sessione";"occasione";"ID_TRAPPOLA";"chip";"ricattura";"pelo";"peso..g.";"sex";"eta";"statoripr";"NOTE";"DOY"
1;"31/08/2014";"T";1;1;"11";"1315302";"N";NA;36;"F";"A";"NR";NA;243
2;"01/09/2014";"A";1;2;"6";NA;"N";"SI";35;"F";"A";"NR";NA;244
3;"01/09/2014";"A  ";1;2;"11";NA;"N ";"SI e";41;"M";"A";"R";NA;244
4;"01/09/2014";"A";1;2;"35";"1314921";"N";NA;39;"F";"A";NA;NA;244
5;"01/09/2014";"A";1;2;"45";"1314375";"N";NA;33;"M";"G";"NR";NA;244
6;"01/09/2014";"T";1;3;"26";"1314305";"N";NA;45;"M";"A";"R";NA;244
7;"02/09/2014";"A";1;4;"66";"1315302";"R";NA;29;"F";"A";"NR";NA;245
8;"02/09/2014";"A";1;4;"45";"1314375";"R";NA;29;"M";"G";"NR";NA;245
9;"02/09/2014";"A";1;4;"57";NA;"N";NA;43;"M";"A";"NR";NA;245
10;"02/09/2014";"A";1;4;"26";"1314112";"N";"NA ";41;"M";"A";"NR";NA;245
11;"02/09/2014";"T";1;5;"29";"1314305";"R";NA;48;"M";"A";"NR";NA;245
12;"02/09/2014";"T";1;5;"62";"1315302";"R";NA;33;"F";"A";"NR";NA;245
13;"03/09/2014";"A";1;6;"2";"1314305";"R";NA;51;"M";"A";"R";NA;246
14;"03/09/2014";"A";1;6;"46";"1314375";"R";"NA ";23;"M";"G";"NR";NA;246
15;"03/09/2014";"A";1;6;"51";"1314921";"R";NA;38;"F";"A";"NR";NA;246
16;"03/09/2014";"A";1;6;"53";NA;"N";"SI 6";13;NA;"G";"NR";NA;246
17;"03/09/2014";"A";1;6;"63";"1315302";"R";"NA ";30;"F";"A";"NR";NA;246
18;"03/09/2014";"T";1;7;"45";NA;NA;NA;NA;NA;NA;NA;NA;246
19;"05/09/2014";"A";1;10;"10";NA;"R";"SI 8";31;"F";"A";"NR";NA;248
20;"05/09/2014";"A";1;10;"16";NA;NA;NA;18;"M";"G";"NR";NA;248
21;"05/09/2014";"A";1;10;"18";"1313426";"N";NA;19;"F";"G";"NR";NA;248
22;"05/09/2014";"A";1;10;"26";"1314112";"R";NA;32;"M";"A";"NR";NA;248
23;"05/09/2014";"A";1;10;"45";"1314375";"R";NA;21;"M";"G";"NR";NA;248
24;"05/09/2014";"A";1;10;"53";"1314305";"R";NA;44;"M";"A";"NR";NA;248
25;"05/09/2014";"A";1;10;"56";"1314452";"N";NA;41;"M";"A";"NR";NA;248
26;"05/09/2014";"A";1;10;"66";"1315302";"R";NA;30;"F";"A";"NR";NA;248
27;"05/09/2014";"A";1;10;"16";"1313426";"R";NA;17;"F";"G";"NR";NA;248
28;"06/09/2014";"A";1;12;"30";"1314305";"R";NA;40;"M";"A";"R";NA;249
29;"06/09/2014";"A";1;12;"33";"1314112";"R";NA;29;"M";"A";"NR";NA;249
30;"06/09/2014";"A";1;12;"40";"1314912";"N";NA;32;"F";"A";"NR";NA;249
31;"06/09/2014";"A";1;12;"45 (74)";NA;"N";NA;27;"M";"A";"NR";NA;249
32;"06/09/2014";"A";1;12;"66";"1315139";"N";NA;43;"M";"A";"NR";NA;249
33;"06/09/2014";"A";1;12;"67";"1315302";"R";NA;30;"F";"A";"NR";NA;249
34;"06/09/2014";"A";1;12;"70";NA;"N";NA;26;NA;NA;NA;NA;249
35;"07/09/2014";"A";1;14;"31";"1314112";"R";NA;29;"M";"A";"NR";NA;250
36;"07/09/2014";"A";1;14;"51";"1314305";"R";NA;40;"M";"A";"NR";NA;250
37;"07/09/2014";"A";1;14;"52";NA;"N";NA;27;"F";"A";"NR";NA;250
38;"07/09/2014";"A";1;14;"61";"1314296";"N";NA;33;"F";"A";"NR";NA;250
1;"14/07/2015";"T";1;1;"23";"1313062";"N";NA;43;"M";"A";"R";NA;195
2;"16/07/2015";"A";1;4;"55";NA;"N";NA;40;"F";"A";"R";NA;197
3;"16/07/2015";"A";1;4;"19";"1313062";"R";NA;45;"M";"A";"R";NA;197
4;"17/07/2015";"A";1;6;"19";"1313062";"R";NA;44;"M";"A";"R";NA;198
5;"17/07/2015";"A";1;6;"23";NA;"N";"F";36;"F";"A";"NR";NA;198
6;"17/07/2015";"A";1;6;"12";"1317018";"N";"E";43;"F";"A";"R";NA;198
7;"17/07/2015";"T";1;7;"66";"1313062";"R";NA;NA;"M";"A";"R";NA;198
8;"17/07/2015";"T";1;7;"61";NA;"N";NA;NA;NA;"A";NA;NA;198
9;"18/07/2015";"A";1;8;"19";NA;"N";"D";18;NA;"G";"NR";NA;199
10;"18/07/2015";"A";1;8;"67";"1310363";"N";"C";40;"F";"A";"R";NA;199
11;"18/07/2015";"A";1;8;"43";"1313039";"N";NA;33;"F";"A";"NR";NA;199
12;"18/07/2015";"A";1;8;"32";NA;"N";"A/C";39;"M";"A";"NR";NA;199
13;"20/07/2015";"A";1;12;"2";NA;"N";NA;36;NA;"A";NA;NA;201
14;"20/07/2015";"A";1;12;"10";"1317018";"R";"E";34;"F";"A";"R";NA;201
15;"20/07/2015";"A";1;12;"12";"1313062";"R";NA;44;"M";"A";"R";NA;201
16;"20/07/2015";"A";1;12;"40";NA;"N";"E";16;NA;"G";"NR";NA;201
17;"20/07/2015";"A";1;12;"39";NA;"N";NA;14;NA;"G";"NR";NA;201
18;"20/07/2015";"A";1;12;"33";"1315296";"N";NA;46;NA;"A";NA;NA;201
19;"21/07/2015";"A";1;14;"15";NA;"N";"A/C";46;"M";"A";"R";NA;202
20;"21/07/2015";"A";1;14;"13";NA;"N";NA;18;NA;"G";"NR";NA;202
21;"21/07/2015";"A";1;14;"45";NA;"R";"F";38;"F";"A";"NR";NA;202
22;"21/07/2015";"A";1;14;"42";NA;"R";"C";37;"F";"A";"R";NA;202
23;"21/07/2015";"A";1;14;"33";NA;"N";"A";22;NA;"G";"NR";NA;202
24;"21/07/2015";"A";1;14;"29";NA;"N";NA;17;NA;"G";"NR";NA;202
25;"21/07/2015";"T";1;15;"13";NA;"N";NA;NA;NA;"G";"NR";NA;202
26;"21/07/2015";"T";1;15;"26";NA;"N";NA;NA;NA;"G";"NR";NA;202
27;"21/07/2015";"T";1;15;"34";NA;"R";"+";NA;NA;"A";NA;NA;202
28;"21/07/2015";"T";1;15;"42";"1313062";"R";NA;NA;"M";"A";"R";NA;202
29;"22/07/2015";"A";1;16;"16";"1317018";"R";"E";31;"F";"A";"R";NA;203
30;"22/07/2015";"A";1;16;"42";NA;"R";"F";33;"F";"A";"NR";NA;203
31;"22/07/2015";"A";1;16;"34";NA;"N";"B";42;"M";"A";"R";NA;203
32;"22/07/2015";"T";1;17;"9";NA;"N";NA;18;NA;"G";"NR";NA;203
33;"22/07/2015";"T";1;17;"38";NA;"N";"C/D";45;NA;"A";"NR";NA;203
34;"22/07/2015";"T";1;17;"31";NA;"N";NA;19;NA;"G";"NR";NA;203
35;"23/07/2015";"A";1;18;"7";NA;"R";"F";32;"F";"A";"NR";NA;204
36;"23/07/2015";"A";1;18;"16";"1313062";"R";NA;43;"M";"A";"R";NA;204
37;"23/07/2015";"A";1;18;"14";NA;"N";NA;18;NA;"G";"NR";NA;204
38;"23/07/2015";"A";1;18;"35";NA;"N";NA;36;NA;"A";"NR";NA;204
39;"23/07/2015";"A";1;18;"34";NA;"R";"B";41;"M";"A";"R";NA;204
40;"24/07/2015";"A";1;20;"55";"1314120";"N";"B/D";37;"M";"A";"NR";NA;205
41;"24/07/2015";"A";1;20;"61";"1313062";"R";NA;38;"M";"A";"R";NA;205
42;"24/07/2015";"A";1;20;"64";NA;"R";"B";46;"M";"A";"NR";NA;205
43;"24/07/2015";"A";1;20;"26";NA;"N";NA;18;NA;"G";"NR";NA;205
44;"24/07/2015";"A";1;20;"30";"1314691";"R";"F";36;"F";"A";"NR";NA;205
45;"24/07/2015";"A";1;20;"35";NA;"N";NA;18;NA;"G";"NR";NA;205
46;"24/07/2015";"A";1;20;"31";NA;"N";NA;18;NA;"G";"NR";NA;205
47;"27/08/2015";"T";2;1;"55";NA;"R";"B";38;"M";"A";"R";NA;239
48;"27/08/2015";"T";2;1;"65";NA;"N";"E/F";35;"M";"A";"R";NA;239
49;"27/08/2015";"T";2;1;"39";NA;"N";"A/B";35;"F";"A";"NR";NA;239
50;"27/08/2015";"T";2;1;"28";NA;"N";"A/E";35;"M";"A";"NR";NA;239
51;"27/08/2015";"T";2;1;"29";NA;"N";"A";39;NA;"A";NA;NA;239
52;"28/08/2015";"A";2;2;"11";"1313807";"N";NA;35;"F";"A";"R";NA;240
53;"28/08/2015";"A";2;2;"13";"1314797";"N";NA;25;"M";"G";"NR";NA;240
54;"28/08/2015";"A";2;2;"55";"1315304";"R";"B";34;"M";"A";"R";NA;240
55;"28/08/2015";"A";2;2;"16";NA;"N";NA;18;NA;"G";"NR";NA;240
56;"28/08/2015";"A";2;2;"57";"1314440";"N";NA;37;"M";"A";"R";NA;240
57;"28/08/2015";"A";2;2;"46";"1314106";"N";NA;33;"M";"A";"R";NA;240
