"Precipitazioni";"Temperatura.C";"velocita.vento";"Orario.R";"Data.R"
0;4,7;0,4;"00:00";"01-10-2013"
0;4,9;0,9;"00:30";"01-10-2013"
0;4,7;1;"01:00";"01-10-2013"
0;4,5;0,6;"01:30";"01-10-2013"
0;4,9;1,9;"02:00";"01-10-2013"
0;4,8;0,2;"02:30";"01-10-2013"
0;4,7;0,3;"03:00";"01-10-2013"
0;4,8;1,4;"03:30";"01-10-2013"
0;4,1;0,5;"04:00";"01-10-2013"
0;4,8;1;"04:30";"01-10-2013"
0;4,2;1,2;"05:00";"01-10-2013"
0;4,7;1,2;"05:30";"01-10-2013"
0;4,9;0,8;"06:00";"01-10-2013"
0;5,3;0,6;"06:30";"01-10-2013"
0;6,4;0,4;"07:00";"01-10-2013"
0;7,5;0,4;"07:30";"01-10-2013"
0;7,8;1,3;"08:00";"01-10-2013"
0;8,9;1,1;"08:30";"01-10-2013"
0;9,3;1,1;"09:00";"01-10-2013"
0;9,9;1,3;"09:30";"01-10-2013"
0;9,9;2,1;"10:00";"01-10-2013"
0;10,5;1,6;"10:30";"01-10-2013"
0;11;1,5;"11:00";"01-10-2013"
0;10,6;1,9;"11:30";"01-10-2013"
0;11;0,7;"12:00";"01-10-2013"
0;10,7;1,1;"12:30";"01-10-2013"
0;10,3;2,1;"13:00";"01-10-2013"
0;10,4;2;"13:30";"01-10-2013"
0;9,9;3,1;"14:00";"01-10-2013"
0;9,6;3,1;"14:30";"01-10-2013"
0;9,6;1,8;"15:00";"01-10-2013"
0;9,3;3;"15:30";"01-10-2013"
0;9,1;2,4;"16:00";"01-10-2013"
0;8,5;2,4;"16:30";"01-10-2013"
0;8,1;1,5;"17:00";"01-10-2013"
0;7,6;0,9;"17:30";"01-10-2013"
0;7,4;1,6;"18:00";"01-10-2013"
0;7,3;0,6;"18:30";"01-10-2013"
0;6,8;0,8;"19:00";"01-10-2013"
0;6,5;1,3;"19:30";"01-10-2013"
0;6,5;1,6;"20:00";"01-10-2013"
0;6,4;1,8;"20:30";"01-10-2013"
0;6,2;2,1;"21:00";"01-10-2013"
0;6;1,1;"21:30";"01-10-2013"
0;5,7;0,9;"22:00";"01-10-2013"
0;5,4;0,6;"22:30";"01-10-2013"
0;5,3;0,8;"23:00";"01-10-2013"
0;5,6;1,6;"23:30";"01-10-2013"
0;5,7;1,3;"00:00";"02-10-2013"
0;5,4;0,9;"00:30";"02-10-2013"
0;5,2;0,7;"01:00";"02-10-2013"
0;5,3;0,9;"01:30";"02-10-2013"
0;4,8;0,3;"02:00";"02-10-2013"
0;4,7;1,3;"02:30";"02-10-2013"
0;4,5;0,7;"03:00";"02-10-2013"
0;4,4;0,5;"03:30";"02-10-2013"
0;4,5;0,3;"04:00";"02-10-2013"
0;4,8;0,5;"04:30";"02-10-2013"
0;4,3;0,6;"05:00";"02-10-2013"
0;4,9;0,7;"05:30";"02-10-2013"
0;5,4;1,1;"06:00";"02-10-2013"
0;5,5;1;"06:30";"02-10-2013"
0;6,7;0,3;"07:00";"02-10-2013"
0;7,3;0,2;"07:30";"02-10-2013"
0;8,6;0,6;"08:00";"02-10-2013"
0;9,8;0,9;"08:30";"02-10-2013"
