"orario 1";"orario 2";"orario 3";"orario 4";"orario 5";"orario 6";"orario 7";"orario 8";"orario 9";"orario 10";"orario 11";"orario 12";"orario 13";"orario 14";"orario 15";"orario 16";"orario 17";"orario 18";"orario 19";"orario 20";"orario 21";"orario 22";"orario 23";"orario 24";"orario 25";"orario 26";"orario 27";"orario 28";"orario 29";"orario 30";"orario 31";"orario 32";"orario 33";"orario 34";"orario 35";"orario 36";"orario 37";"orario 38";"orario 39";"orario 40";"orario 41";"orario 42";"orario 43";"orario 44";"orario 45";"orario 46";"orario 47";"orario 48";"orario 49";"orario 50";"orario 51";"orario 52";"orario 53";"orario 54";"orario 55";"orario 56";"orario 57";"orario 58";"orario 59";"orario 60";"orario 61";"orario 62";"orario 63";"orario 64";"orario 65";"orario 66";"orario 67";"orario 68";"orario 69";"orario 70";"orario 71";"orario 72";"orario 73";"orario 74";"orario 75";"orario 76";"orario 77";"orario 78";"orario 79";"orario 80";"orario 81";"orario 82";"orario 83";"orario 84";"orario 85";"orario 86";"orario 87";"orario 88";"orario 89";"orario 90";"orario 91";"orario 92";"orario 93";"orario 94";"orario 95";"orario 96";"orario 97";"orario 98";"orario 99";"orario 100";"orario 101";"orario 102";"orario 103";"orario 104";"orario 105";"orario 106";"orario 107";"orario 108";"orario 109";"orario 110";"orario 111";"orario 112";"orario 113";"orario 114";"orario 115";"orario 116";"orario 117";"orario 118";"orario 119";"orario 120";"orario 121";"orario 122";"orario 123";"orario 124";"orario 125";"orario 126";"orario 127";"orario 128";"orario 129";"orario 130";"orario 131";"orario 132";"orario 133";"orario 134";"orario 135";"orario 136";"orario 137";"orario 138";"orario 139";"orario 140";"orario 141";"orario 142";"orario 143";"orario 144";"orario 145";"orario 146";"orario 147";"orario 148"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al";"Tr";"Al"
