"V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148"
"1" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"2" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"3" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"4" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"5" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"6" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"7" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"8" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"9" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"10" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"11" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"12" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
